Clip Filename,Suffix,Main Dialogue
1.0.0,About me,Hi. I'm...
1.1.0,About the text,"This excerpt comes from the speech Abraham Lincoln gave in March of 1865 after he won reelection as president. A month later, the United States' Civil War—a war that killed more Americans than World War II—would end. A month later, an assassin would murder Abraham Lincoln. But picture yourself hearing about this speech when it happened. If you were a northerner, you probably knew a young man who had died. If you were a southerner, you almost definitely did—probably a family member. One eighth of the population, including all of my ancestors, were newly freed slaves. I doubt they could have read it, but I wonder how this speech would have come across to them."
1.2.0,Read the text,Give this paragraph a first read. 
1.2.1,Read too fast,"Hmm... That must've been an accident. Even if you don't get that much the first time, read through the passage and notice whatever you DO get."
1.3.0,Intro poll,How was that? How well would you say you understood this text from that first read?
1.3.1,Thanks,Thanks
1.3.2,If you need,"If you need to try an easier passage, click ""exit"" and choose a new passage from the Skills tab. Otherwise, let's dive in!"
1.4.0,Main idea intro,What's the main idea of this passage? Type a few words or phrases in the chat box.
1.4.1,Come back later,Cool. We'll come back to the main idea after we have a closer read.
2.0.0,Easily picture,Highlight a word or phrase you can easily picture in this first sentence.
2.0.1,,"Cool. That works. Most people choose ""Bible."""
2.0.2,,Cool. That was the most popular answer.
2.0.3,,"Hmmm... There must be a way to picture that, but choose something that's easier to visualize. Try again."
2.0.4,,"Hmmm... Most users just chose ""Bible."""
2.1.0,"""His""","Notice the pronoun, ""His."" Drag ""His"" and drop it on the word it's replacing."
2.1.1,,"Yeah. The way ""His"" is capitalized is also a clue that ""His"" means ""God's."""
2.1.2,,"No. Try again. Notice that ""His"" is capitalized. Drag ""His"" and drop it on the word it's replacing."
2.1.3,,"No. ""His"" is capitalized because it's referring to ""God."""
2.2.0,Invoking God's aid,"""Invokes"" means ""calls on."" What's strange about each side invoking God's aid?"
2.2.1,,"That may be true, but it doesn't say so here. Try again."
2.2.2,,"Yeah. The word ""same"" contrasts with the word ""against."""
2.2.3,,"No. They're both praying to the same Christian God, so there's no way for God to help both sides."
3.0.0,2nd sentence image,"What's easy to picture in this second sentence? This time, highlight something easy to visualize, but highlight the whole phrase."
3.0.1,,"Nice. ""Wringing"" means forcibly ""squeezing out""—the way you'd squeeze out a wet towel. "
3.0.2,,Cool. That's visual. Now keep going. Highlight the whole image Lincoln wants you to picture.
3.0.3,,Hmmm... We see a phrase that's easier to picture in this sentence. Try again.
3.0.5,,"The whole phrase would be, ""wringing their bread from the sweat of other men's faces,"" ""Wringing"" means forcibly ""squeezing out""—the way you'd squeeze out a wet towel. "
3.1.0,Wringing their bread,"Lincoln uses this visual description, ""wringing their bread from the sweat of other men's faces,"" to describe..."
3.1.1,,Yeah. 
3.1.2,,"No. By ""bread,"" Lincoln probably meant not just actual bread, but all the wealth produced by the slaves' hard work."
3.2.0,Which men,"Which men is Lincoln talking about who would be asking God's assistance in ""wringing their bread from the sweat of other men's faces""?"
3.2.1,,No. The slaves were the ones sweating. Try again.
3.2.2,,No. The North was fighting to end slavery. Try again.
3.2.3,,Yeah. Confederate slave owners and their allies prayed to God for help defeating the Union so that slavery would remain legal.
3.2.4,,No. Confederate slave owners and their allies prayed to God for help defeating the Union so they could keep owning slaves.
3.3.0,Protect slavery?!,"Lincoln says, ""It may seem strange"" to ask God to help you protect slavery. What do you think? Does it seem strange? Type your thoughts in the chat."
3.3.1,,Here are answers from other students. Does one of these make sense to you? Which one?
3.4.0,"""But"" road sign",Highlight the transition/road sign word in this sentence.
3.4.1,,Yeah.
3.4.2,,"No. Look for a word like ""next,"" ""therefore,"" or ""however"" that emphasizes or re-directs what Lincoln is saying. "
3.5.0,"""But""","""But"" changes the direction of Lincoln's argument. In the first half of the sentence, he said ""it may seem strange"" for men to think God would help them keep slavery going. What's Lincoln's new direction after the word ""but""?"
3.5.1,,"Yeah. Lincoln says, ""Let us judge not."""
3.5.2,,"No. Judging them would go along with finding their actions ""strange."" ""But"" shifts the meaning in a new direction. Try again."
3.5.3,,"No. The first half of the sentence implied that slavery is wrong. ""But"" shifts to a different or contrasting idea. Try again."
3.5.4,,"No. Lincoln says, ""Let us judge not."" He's saying that we shouldn't judge the slave owners."
3.6.0,Shouldn't judge,Huh? We shouldn't judge them? Why not?
3.6.1,,"No. Lincoln clearly implied in the previous sentence that a ""just God"" would never approve of enslaving another man. Try again."
3.6.2,,"Maybe, but that's not the reason Lincoln gives for not judging. Try again. "
3.6.3,,"Yeah. Lincoln almost quotes the Book of Matthew in the Bible: ""Judge not, that ye be not judged."" The idea is that God is the only one who can truly judge."
3.6.4,,"No. Lincoln almost quotes the Book of Matthew in the Bible: ""Judge not, that ye be not judged."" The idea is that God is the only one who can truly judge."
4.0.0,"What's ""Both""?","What does Lincoln mean by ""both""?"
4.0.1,,"No. He's talking about the same ""both"" he was talking about in the first sentence of this excerpt. He means the North and the South—the sides that are fighting in this terrible bloody war."
4.0.2,,Yup.
4.1.0,Prayers of both,Why can't the prayers of both sides be answered?
4.1.1,,"Maybe, but Lincoln doesn't say that. What's obviously true in this situation? Try again."
4.1.2,,Yes.
4.2.0,"""That of neither""","""That of neither""—that what? Drag and drop ""that"" onto the word it represents from the previous sentence."
4.2.1,,"Nice. Today, we would use the plural, ""those,"" to refer to plural ""prayers."" "
4.2.2,,"No. Here's a hint: No disrespect to Abraham Lincoln, but ""that"" refers to a plural word. He should have probably said ""those"" instead of ""that."" Try again. Drag ""that"" onto the the word it's meant to represent from the previous sentence."
4.2.3,,"No. ""That"" refers to ""The prayers."" ""Prayers"" is plural, so, if he were speaking today, Lincoln would have said, ""THOSE of neither""..."
4.3.0,Not answered fully,"""Neither"" means ""neither side."" Lincoln doesn't explain in detail here. To understand this sentence, you have to think of the reasons yourself. Both sides prayed for God's help. The North was about to win the war. What could Lincoln have meant by saying that their prayers were not ""answered fully""? Type your thoughts in the chat."
4.3.1,,Here are some responses we chose from other students. Which one makes the most sense to you?
4.4.0,"""Offenses""","""The Almighty"" means ""God."" ""Woe"" means bad stuff—grief and misery. What do you think the Bible means by ""offenses""?"
4.4.1,,Yeah.
4.4.2,,"Maybe, but there's a better choice. Try again."
4.4.3,,"That could be offensive, but ""Woe unto the world"" implies a reaction to something even more offensive."
5.0.0,"""For"" road sign",Highlight the two transition/road sign words in this part of the quote.
5.0.1,,"Yeah. The word ""for"" signals that we're going to learn something about WHY the woe and offenses happen."
5.0.2,,"Yeah. ""Because"" points to the reason for the ""woe"" or misery."
5.0.3,,No. We're looking for a word that directs our understanding. Try again. 
5.0.4,,"No. The words ""for"" and ""because"" signal that we're going to get explanations."
5.1.0,Woe explanation,"So, what explanation is the Bible offering about ""woe""—about grief and misery in the world?"
5.1.1,,"That could be true, but it's not what the Bible says here. Read it and try again."
5.1.2,,"Well, it definitely doesn't say that here. Try again."
5.1.3,,"Yup. ""It must needs be"" means that offenses just have to happen. "
5.1.4,,"No. ""It must needs be"" means that offenses just have to happen. "
5.2.0,"""But"" road sign",One more transition/road sign word in this quote. Highlight it. 
5.2.1,,"Yeah, that's a road sign word, but we're looking for another one later in the quote. Try again."
5.2.2,,"Right, but we already looked at that one. Find another transition/road sign word later in the quote."
5.2.3,,"Yeah. ""But"" signals a shift."
5.2.4,,No. Try again. We're looking for a word that signals a shift to a new idea.
5.2.5,,"No. The word ""but"" lets us know that a new idea is coming."
5.3.0,Different woe,"""But"" contrasts the first kind of woe—""woe to the world"" for offenses that ""must needs... come""—with another kind of woe. Drag and drop the highlighted phrase onto the different kind of woe that the Bible is offering as a contrast."
5.3.1,,Nice!
5.3.2,,No. Try again.
5.3.3,,"No. The Bible is contrasting the first kind of woe -- the kind that ""must needs come"" -- with woe that happens to a man who causes the offense."
5.4.0,Two kinds of grief,So what is the difference between the first kind of woe (or grief) and the second kind?
5.4.1,,"Yeah. The first kind impacts ""the world"" because of offenses that ""must needs be,"" while the second affects ""that man by whom the offense cometh""—the guy who did the offense."
5.4.2,,"Hmmmm... It could be ""catastrophic,"" but it definitely doesn't mention anything being ""easily overcome."" Try again."
5.4.3,,"No. If anything, the opposite would be true. Try again."
5.4.4,,"No. It says the first kind impacts ""the world"" because of offenses that ""must needs be,"" while the second effects ""that man by whom the offense cometh""—the guy who did the offense."
